id,name,value,timestamp
253,Temperature,30.0,2023-03-09 13:18:06.427846
254,Humidity,31.0,2023-03-09 13:18:06.435788
255,Voltage,0.016129032,2023-03-09 13:18:06.443787
256,Current,0.0,2023-03-09 13:18:06.451834
257,Object Temperature,1037.549927,2023-03-09 13:18:06.451834
258,Temperature,30.0,2023-03-09 13:18:51.099185
259,Humidity,31.0,2023-03-09 13:18:51.106695
260,Voltage,0.009677419,2023-03-09 13:18:51.109938
261,Current,0.0,2023-03-09 13:18:51.109938
262,Temperature,30.0,2023-03-09 13:18:56.386104
263,Humidity,31.0,2023-03-09 13:18:56.404258
264,Voltage,0.009677419,2023-03-09 13:18:56.410965
265,Current,0.0,2023-03-09 13:18:56.417836
266,Object Temperature,28.05001259,2023-03-09 13:18:56.423452
267,Temperature,30.0,2023-03-09 13:19:01.712374
268,Humidity,31.0,2023-03-09 13:19:01.722581
269,Voltage,0.009677419,2023-03-09 13:19:01.730343
270,Current,0.0,2023-03-09 13:19:01.738011
271,Object Temperature,1037.549927,2023-03-09 13:19:01.744082
272,Temperature,30.0,2023-03-09 13:19:07.028261
273,Humidity,31.0,2023-03-09 13:19:07.035999
274,Voltage,0.009677419,2023-03-09 13:19:07.039662
275,Current,0.0,2023-03-09 13:19:07.044344
276,Object Temperature,1037.549927,2023-03-09 13:19:07.049929
277,Temperature,30.0,2023-03-09 13:19:12.665966
278,Humidity,31.0,2023-03-09 13:19:12.674847
279,Voltage,0.009677419,2023-03-09 13:19:12.685040
280,Current,0.0,2023-03-09 13:19:12.695924
281,Object Temperature,1037.549927,2023-03-09 13:19:12.703295
282,Temperature,30.0,2023-03-09 13:19:18.087708
283,Humidity,31.0,2023-03-09 13:19:18.095854
284,Voltage,0.009677419,2023-03-09 13:19:18.101737
285,Current,0.0,2023-03-09 13:19:18.105773
286,Object Temperature,1037.549927,2023-03-09 13:19:18.112773
287,Temperature,30.0,2023-03-09 13:19:23.406334
288,Humidity,31.0,2023-03-09 13:19:23.426059
289,Voltage,0.006451613,2023-03-09 13:19:23.433893
290,Current,0.0,2023-03-09 13:19:23.444064
291,Object Temperature,1037.549927,2023-03-09 13:19:23.451279
292,Temperature,30.0,2023-03-09 13:19:28.570721
293,Humidity,31.0,2023-03-09 13:19:28.580595
294,Voltage,0.009677419,2023-03-09 13:19:28.591775
295,Current,0.0,2023-03-09 13:19:28.595333
296,Object Temperature,1037.549927,2023-03-09 13:19:28.600854
297,Temperature,30.0,2023-03-09 13:19:34.367180
298,Humidity,31.0,2023-03-09 13:19:34.378883
299,Voltage,0.006451613,2023-03-09 13:19:34.388278
300,Current,0.0,2023-03-09 13:19:34.393728
301,Object Temperature,1037.549927,2023-03-09 13:19:34.398838
302,Temperature,29.0,2023-03-09 13:19:40.309199
303,Humidity,31.0,2023-03-09 13:19:40.324908
304,Voltage,0.009677419,2023-03-09 13:19:40.324908
305,Current,0.0,2023-03-09 13:19:40.340483
306,Object Temperature,1037.549927,2023-03-09 13:19:40.340483
307,Temperature,29.0,2023-03-09 13:19:45.942064
308,Humidity,31.0,2023-03-09 13:19:45.942064
309,Voltage,0.009677419,2023-03-09 13:19:45.962018
310,Current,0.0,2023-03-09 13:19:45.965096
311,Object Temperature,1037.549927,2023-03-09 13:19:45.965096
312,Temperature,29.0,2023-03-09 13:19:51.267902
313,Humidity,31.0,2023-03-09 13:19:51.289857
314,Voltage,0.009677419,2023-03-09 13:19:51.298293
315,Current,0.0,2023-03-09 13:19:51.307516
316,Object Temperature,1037.549927,2023-03-09 13:19:51.315092
317,Temperature,29.0,2023-03-09 13:19:56.439592
318,Humidity,31.0,2023-03-09 13:19:56.451529
319,Voltage,0.009677419,2023-03-09 13:19:56.458693
320,Current,0.0,2023-03-09 13:19:56.463410
321,Object Temperature,1037.549927,2023-03-09 13:19:56.471431
322,Temperature,29.0,2023-03-09 13:20:01.822293
323,Humidity,31.0,2023-03-09 13:20:01.838924
324,Voltage,0.009677419,2023-03-09 13:20:01.847759
325,Current,0.0,2023-03-09 13:20:01.851778
326,Object Temperature,1037.549927,2023-03-09 13:20:01.862042
